"Bay Minette","AL","Baldwin County
 ",8216,8044,0.02,8044,0.06,0.24,0.15,0.52,0.60,0.35,0.01,0.01,-1,0.02,0.02,0.60,0.81,0.00,0.01,0.75,0.16,670,29.60,0.69,0.19,102000,2603,2.73,17915,35960,0.22,651,0.22,450930,110236,235900,30407,12363,8.57,938.70,4660,85440,79274,6166,7.20,1,0,,1,7,11,5,4,495,-1,-1,,,25,,14,29,-1,-1,-1,-1
"Bessemer","AL","Jefferson County
 ",27475,27456,0.00,27456,0.07,0.25,0.15,0.53,0.24,0.71,0.00,0.00,0.00,0.01,0.04,0.24,0.86,0.02,0.04,0.79,0.12,2076,24.60,0.60,0.20,86800,11195,2.42,17085,29600,0.27,2566,0.34,373138,769072,633181,21891,62329,39.85,689.00,5980,305623,282662,22961,7.50,1,0,1,1,7,11,5,4,495,568,3813,,,110,,14,29,-1,-1,-1,-1
"Birmingham","AL","Jefferson County
 Shelby County
 ",212413,212244,0.00,212237,0.07,0.22,0.12,0.53,0.22,0.73,0.00,0.01,-1,0.01,0.04,0.21,0.77,0.03,0.05,0.83,0.21,16214,21.70,0.51,0.35,87100,89822,2.30,19962,31898,0.27,20088,0.32,4724751,6667818,4690397,20338,587726,146.07,1453.00,7000,305623,282662,22961,7.50,14,0,17,21,7,11,5,4,495,2812,18159,,,854,,14,29,-1,-1,75,-1
"Boaz","AL","Etowah County
 Marshall County
 ",9569,9468,0.01,9551,0.08,0.26,0.16,0.53,0.87,0.02,0.00,0.01,0.00,0.02,0.14,0.82,0.78,0.11,0.13,0.75,0.15,616,20.60,0.59,0.19,101800,3489,2.61,17903,32508,0.18,1481,"S",-1,83688,307988,37486,-1,14.55,656.40,7912,45961,42048,3913,8.50,1,0,,0,7,11,5,4,495,39,568,,,22,,14,29,-1,-1,-1,-1
"Brewton","AL","Escambia County
 ",5376,5408,-0.01,5408,0.06,0.23,0.19,0.54,0.54,0.43,0.01,0.00,0.00,0.01,0.02,0.53,0.95,0.00,0.01,0.83,0.22,544,20.40,0.64,0.18,110200,2059,2.47,19658,31800,0.20,558,0.26,102378,24583,175012,33285,15061,11.20,482.70,9208,14906,13471,1435,9.60,1,0,,1,7,11,5,4,495,-1,-1,,,26,,14,29,-1,-1,-1,-1
"Brook Highland ","AL","Shelby County
 ",-1,-1,-1,6746,0.05,0.20,0.05,0.50,0.74,0.16,0.00,0.04,0.00,0.02,0.08,0.70,0.72,0.13,0.16,0.94,0.53,589,21.30,0.37,0.60,371100,3377,2.15,38558,52790,0.06,-1,-1,-1,-1,-1,-1,-1,2.83,2384.60,9500,102732,97151,5581,5.40,0,0,,0,7,11,5,4,495,-1,-1,,,-1,,14,29,-1,-1,-1,-1
"Calera","AL","Chilton County
 Shelby County
 ",11791,11620,0.02,11620,0.10,0.27,0.08,0.52,0.71,0.23,0.00,0.01,-1,0.02,0.05,0.70,0.85,0.05,0.07,0.88,0.30,797,30.30,0.79,0.09,139400,4172,2.61,24674,61774,0.11,1132,"S",219978,346234,177979,18493,17652,24.09,482.30,11416,19743,18385,1358,6.90,0,0,1,1,7,11,5,4,495,-1,-1,,,25,,14,29,-1,-1,-1,-1
"Center Point","AL","Jefferson County
 ",16942,16931,0.00,16921,0.08,0.29,0.12,0.54,0.33,0.63,0.00,0.00,-1,0.01,0.05,0.31,0.83,0.03,0.04,0.88,0.16,1180,26.50,0.68,0.25,110300,6168,2.71,19594,43459,0.20,986,0.46,-1,-1,82550,5330,9369,6.12,2766.70,13264,305623,282662,22961,7.50,0,0,,0,7,11,5,4,495,-1,-1,,,-1,,14,29,-1,-1,-1,-1
"Chickasaw","AL","Mobile County
 ",6100,6106,0.00,6106,0.09,0.27,0.15,0.54,0.63,0.34,0.01,0.01,-1,0.01,0.02,0.62,0.84,0.00,0.01,0.80,0.12,496,21.80,0.61,0.21,82200,2543,2.40,17315,30245,0.26,398,"S",-1,151175,40914,6845,1436,4.21,1451.40,14392,193953,177069,16884,8.70,0,0,,1,7,11,5,4,495,-1,-1,,,20,,14,29,-1,-1,-1,-1
"Childersburg","AL","Talladega County
 ",5142,5182,-0.01,5175,0.08,0.26,0.15,0.55,0.60,0.37,0.00,0.01,0.00,0.02,0.01,0.59,0.75,0.01,0.01,0.73,0.11,416,20.60,0.60,0.22,109400,1997,2.61,17898,35066,0.27,-1,-1,-1,-1,-1,-1,-1,12.35,419.20,14464,37811,34553,3258,8.60,0,0,,1,7,11,5,4,495,28,210,,,12,,14,29,-1,-1,-1,-1
